,0,1
0,Matthew 25 , MXXVX
1,YCG Enhanced , YCGEX
2,VALIC Company I Large Capital Growth , VLCGX
3,MFS Massachusetts Inv Gr Stk A , MIGFX
4,Eaton Vance Atlanta Capital Sel Eq I , ESEIX
5,Columbia Select Large Cap Growth Inst , UMLGX
6,First Trust Rising Dividend Achiev ETF , RDVY
7,Vanguard Mega Cap Growth ETF , MGK
8,Polen Growth Institutional , POLIX
9,Vanguard Growth Index Investor , VIGRX
10,Calvert Equity A , CSIEX
11,Ivy Large Cap Growth A , WLGAX
12,Putnam Growth Opportunities A , POGAX
13,Brown Advisory Flexible Equity Inv , BIAFX
14,MFS Growth B , MEGBX
15,TCW Select Equities I , TGCEX
16,Putnam Sustainable Leaders A , PNOPX
17,JPMorgan Growth Advantage A , VHIAX
18,Pioneer Disciplined Growth A , PINDX
19,American Century All Cap Growth Inv , TWGTX
20,Akre Focus Instl , AKRIX
21,Pax Large Cap Fund Institutional , PXLIX
22,Independent Franchise Partners US Equity , IFPUX
23,BNY Mellon Appreciation Investor , DGAGX
24,Brown Advisory Sustainable Growth I , BAFWX
25,Congress Large Cap Growth Institutional , CMLIX
26,Glenmede Quant US Large Cap Gr Eq , GTLLX
27,Gabelli Growth AAA , GABGX
28,Edgewood Growth Instl , EGFIX
29,iShares Edge MSCI USA Quality Factor ETF , QUAL
30,Weitz Value Investor , WVALX
31,Invesco BuyBack Achievers ETF , PKW
32,Fidelity SAI US Quality Index , FUQIX
33,BNY Mellon Sustainable US Eq Fd Z , DRTHX
34,Vanguard FTSE Social Index I , VFTNX
35,Pioneer Fundamental Growth A , PIGFX
36,Invesco S&P 500 Quality ETF , SPHQ
37,American Century Sustainable Equity A , AFDAX
38,Nicholas , NICSX
39,Nuveen Winslow Large-Cap Growth I , NVLIX
40,Vanguard US Growth Investor , VWUSX
41,Vanguard ESG US Stock ETF , ESGV
42,MainStay Large Cap Growth A , MLAAX
43,Parnassus Endeavor Investor , PARWX
44,Harbor Capital Appreciation Instl , HACAX
45,Weitz Partners Value Investor , WPVLX
46,Multi-Manager Growth Strategies A , CSLBX
47,JHFunds2 Capital Appreciation NAV , JHCPX
48,SEI Large Cap Growth F (SIMT) , SELCX
49,DFA US Hi Relatv Profitability Instl , DURPX
50,Amana Growth Investor , AMAGX
51,JHancock US Global Leaders Growth A , USGLX
52,PGIM Jennison Focused Growth Z , SPFZX
53,Calvert US Large Cap Core Rspnb Idx I , CISIX
54,PGIM Jennison Growth A , PJFAX
55,TIAA-CREF Quant Large-Cap Growth Instl , TLIIX
56,AMG Managers Montag & Caldwell Growth N , MCGFX
57,SPDR MSCI USA StrategicFactors ETF , QUS
58,State Street Instl US Equity Inv , SUSIX
59,Artisan Thematic Investor , ARTTX
60,GE RSP US Equity , GESSX
61,iShares MSCI USA ESG Select ETF , SUSA
62,iShares ESG MSCI USA ETF , ESGU
63,DFA US Large Cap Growth Instl , DUSLX
64,SPDR S&P 500 Fossil Fuel Rsrv Free ETF , SPYX
65,PACE Large Co Growth Equity P , PCLCX
66,Fidelity Independence , FDFFX
67,Fidelity Disciplined Equity , FDEQX
68,Invesco Oppenheimer Main Street A , MSIGX
69,MFS Massachusetts Investors Tr A , MITTX
70,Nuveen Santa Barbara Dividend Growth I , NSBRX
71,Diamond Hill Large Cap A , DHLAX
72,GMO Quality IV , GQEFX
73,Lazard US Equity Concentrated Instl , LEVIX
74,VALIC Company II U.S. Socially Rspnb , VCSRX
75,Domini Impact Equity Investor , DSEFX
76,Carillon ClariVest Capital Apprec A , HRCPX
77,TIAA-CREF Social Choice Eq Instl, TISCX
78,Pioneer Core Equity A , PIOTX
79,Fidelity Focused Stock , FTQGX
80,iShares MSCI KLD 400 Social ETF , DSI
81,Hartford Stock HLS IA , HSTAX
82,Fidelity Magellan , FMAGX
83,SPDR SSGA US Large Cap Low Volatil ETF , LGLV
84,Pioneer A , PIODX
85,Global X S&P 500 Catholic Values ETF , CATH
86,Vanguard Dividend Growth Inv , VDIGX
87,Goldman Sachs ActiveBeta US LgCp Eq ETF , GSLC
88,Green Century Equity Individual Investor , GCEQX
89,TIAA-CREF Large-Cap Growth Inst , TILGX
90,Parnassus Core Equity Investor , PRBLX
91,Fidelity Low Volatility Factor ETF , FDLO
92,Nicholas Equity Income I , NSEIX
93,MassMutual Select Growth Opps R5 , MGRSX
94,Touchstone Large Cap Focused A , SENCX
95,American Century Disciplined Growth I , ADCIX
96,American Century NT Disciplined Gr Inv , ANTDX
97,Brown Advisory BeutelGoodmanLg-CpValInst , BVALX
98,Russell Inv US Strategic Equity S , RSESX
99,Parnassus , PARNX
100,ClearBridge Appreciation A , SHAPX
101,Invesco Oppenheimer Rising Dividends A , OARDX
102,Pioneer Disciplined Value A , CVFCX
103,MainStay MacKay Growth A,KLGAX
104,Calvert US Large Cap Value Rspnb Idx I , CFJIX
105,Victory Diversified Stock A , SRVEX
106,MassMutual Select Equity Opports R5 , MFVSX
107,Sequoia , SEQNX
108,JPMorgan Intrepid Growth I , JPGSX
109,American Century NT Equity Growth G , ACLEX
110,Invesco Charter A , CHTRX
111,BlackRock Advantage US Total Mkt Instl , MASPX
112,Frontier MFG Global Equity Institutional , FMGEX
113,MFS Blended Research Core Equity I , MUSEX
114,Franklin LibertyQ US Equity ETF , FLQL
115,Fidelity® Dividend Growth , FDGFX
116,Columbia Select Large Cap Equity Inst , NSEPX
117,Frontier MFG Global Plus Institutional , FMGPX
118,ClearBridge Large Cap Value I , SAIFX
119,Hartford Dividend and Growth HLS IA , HIADX
120,GMO US Equity III , GMUEX
121,Fidelity Advisor® Dividend Growth I , FDGIX
122,Sterling Capital Special Opps Inst , BOPIX
123,American Century Equity Growth Inv , BEQGX
124,BNY Mellon US Equity I , DPUIX
125,American Beacon The London Co Inc Eq Ins , ABCIX
126,Hartford Dividend and Growth Y , HDGYX
127,Wells Fargo Large Cap Core Inst , EGOIX
128,Columbia Dividend Income Inst , GSFTX
129,GuideMark® Large Cap Core Service , GMLGX
130,SEI US Equity Factor Allocation A (SIIT) , SEHAX
131,Invesco S&P 500® Low Volatility ETF , SPLV
132,iShares Edge MSCI Min Vol USA ETF , USMV
133,Fidelity® SAI US LowVolatility Idx , FSUVX
134,Vanguard PRIMECAP Core Inv , VPCCX
135,USAA Growth , USAAX
136,Ave Maria Rising Dividend , AVEDX
137,iShares Edge MSCI USA Momentum Fctr ETF , MTUM
138,iShares Edge MSCI USA Value Factor ETF , VLUE
139,Russell Inv Sustainable Equity E , REQEX
140,Touchstone Focused Y , TFFYX
141,Schwab US Dividend Equity ETF™ , SCHD
142,Olstein All Cap Value C , OFALX
143,PRIMECAP Odyssey Stock , POSKX
144,Janus Henderson Growth And Income D , JNGIX
145,Delaware US Growth A , DUGAX
146,First Trust Capital Strength ETF , FTCS
147,Fidelity® Dividend ETF for Rising Rates , FDRR
148,Smead Value Investor , SMVLX
149,iShares Edge MSCI Multifactor USA ETF , LRGF
150,Neuberger Berman Sustainable Eq Investor , NBSRX
151,FlexShares Quality Dividend ETF , QDF
152,Scharf Institutional , LOGIX
153,Goldman Sachs Rising Dividend Gr A , GSRAX
154,Voya US High Dividend Low Volatility I , VHDIX
155,Sterling Capital Equity Income Instl , BEGIX
156,FlexShares Quality Dividend Defensv ETF , QDEF
157,HCM Dividend Sector Plus R , HCMZX
158,American Beacon Bridgeway Lg Cp Val Inst , BRLVX
159,Dodge & Cox Stock , DODGX
160,Invesco Dynamic Large Cap Growth ETF , PWB
161,AAMA Equity , AMFEX
162,AB Equity Income A , AUIAX
163,Fidelity® Series Value Discovery , FNKLX
164,Pacer Trendpilot™ 100 ETF , PTNQ
165,Fidelity® SAI US Momentum Index , FUMIX
166,Delaware Growth Equity A , FICGX
167,Fidelity® Value Discovery , FVDFX
168,American Century Income and Growth Inv , BIGRX
169,Hartford Multifactor US Equity ETF , ROUS
170,FMI Large Cap , FMIHX
171,BMO Dividend Income I , MDIVX
172,Touchstone Large Cap Institutional , TLCIX
173,VALIC Company I Dividend Value , VCIGX
174,Glenmede Quant US Large Cap Core Eq , GTLOX
175,Sound Shore Investor , SSHFX
176,Coho Relative Value Equity Advisor , COHOX
177,Carillon Eagle Growth & Income A , HRCVX
178,Fidelity® Blue Chip Value , FBCVX
179,SPDR® Portfolio S&P 500 High Div ETF , SPYD
180,Nuveen Large-Cap Value I , NNGRX
181,Invesco S&P 500® High Div Low Vol ETF , SPHD
182,Torray , TORYX
183,AIG Focused Dividend Strategy A , FDSAX
184,Gotham Index Plus Institutional , GINDX
185,AMG Yacktman Focused N , YAFFX
186,Nuveen Large Cap Core I , NLCIX
187,AMG Yacktman I , YACKX
188,Virtus Rampart Equity Trend I , VAPIX